sku_id,daily_mean,daily_std,lead_time_days,unit_cost,safety_stock,reorder_point,forecast_next
SKU0076,3.3777777777777778,2.6118906053531576,29,98.39,24.0,122.0,4.571428571428571
SKU0063,3.311111111111111,2.511297817680858,27,40.59,22.0,112.0,2.0
SKU0020,3.6333333333333333,2.7902317571174913,24,95.11,23.0,111.0,4.142857142857143
SKU0018,3.1,2.3466447479398553,29,132.79,21.0,111.0,2.5714285714285716
SKU0030,3.066666666666667,2.364531927455211,29,140.34,22.0,111.0,3.4285714285714284
SKU0021,3.5555555555555554,2.557698715955029,25,14.08,22.0,111.0,4.571428571428571
SKU0022,3.6,2.52092367591232,24,67.66,21.0,108.0,3.142857142857143
SKU0010,3.311111111111111,2.1911181509814908,26,166.51,19.0,106.0,4.571428571428571
SKU0079,3.0555555555555554,2.1219087819464275,28,150.6,19.0,105.0,3.5714285714285716
SKU0070,3.111111111111111,2.1952166817083087,26,113.33,19.0,100.0,3.2857142857142856
SKU0051,2.9555555555555557,2.5258711306772983,26,173.35,22.0,99.0,4.714285714285714
SKU0033,3.477777777777778,2.0729817734868026,23,203.96,17.0,97.0,3.5714285714285716
SKU0007,3.3333333333333335,2.2882209369245303,23,288.74,19.0,96.0,3.857142857142857
SKU0057,3.2666666666666666,2.595588305507133,22,283.43,21.0,93.0,2.2857142857142856
SKU0073,3.011111111111111,2.2510643896592586,24,197.83,19.0,92.0,3.142857142857143
SKU0058,3.1333333333333333,2.224480749914814,23,183.67,18.0,91.0,2.0
SKU0039,3.2888888888888888,2.4460215092003303,21,291.8,19.0,89.0,3.5714285714285716
SKU0019,3.3333333333333335,2.4494897427831783,21,124.52,19.0,89.0,2.4285714285714284
SKU0080,3.6555555555555554,2.3709909326053693,19,210.81,18.0,88.0,4.857142857142857
SKU0009,3.066666666666667,2.457732580693483,22,226.72,20.0,88.0,2.7142857142857144
SKU0054,2.922222222222222,2.284425912087155,23,185.28,19.0,87.0,3.142857142857143
SKU0046,2.966666666666667,2.084991849201324,23,42.16,17.0,86.0,2.857142857142857
SKU0028,2.7555555555555555,2.194534124813006,24,275.34,18.0,85.0,1.0
SKU0042,3.5,2.450636239332164,19,78.44,18.0,85.0,3.7142857142857144
SKU0014,3.3777777777777778,2.4794788224466244,19,90.04,18.0,83.0,2.7142857142857144
SKU0062,3.2444444444444445,2.3952720804901335,20,95.73,18.0,83.0,2.7142857142857144
SKU0043,3.3666666666666667,2.474362930152398,19,84.26,18.0,82.0,2.7142857142857144
SKU0008,3.522222222222222,2.4869446882966035,18,254.91,18.0,82.0,3.7142857142857144
SKU0016,3.4555555555555557,2.549117984103306,18,57.93,18.0,81.0,2.857142857142857
SKU0052,3.1333333333333333,2.4868191858117368,19,211.7,18.0,78.0,2.5714285714285716
SKU0071,2.911111111111111,2.19624011931139,20,272.98,17.0,76.0,4.428571428571429
SKU0045,3.2777777777777777,2.5922433032647323,16,216.09,18.0,71.0,2.2857142857142856
SKU0069,3.2,2.468680218754934,16,45.41,17.0,69.0,2.857142857142857
SKU0017,3.611111111111111,2.5558676463615746,14,14.53,16.0,67.0,3.4285714285714284
SKU0023,3.011111111111111,2.637220380595867,16,216.29,18.0,67.0,3.0
SKU0072,3.0555555555555554,2.0952654553396273,17,88.92,15.0,67.0,4.0
SKU0006,3.1222222222222222,2.3694107634162465,16,161.04,16.0,66.0,1.8571428571428572
SKU0044,3.3555555555555556,2.8296627468523248,14,21.73,18.0,65.0,4.0
