snapshot_date,sku_id,on_hand_qty,warehouse
2025-01-01,SKU0001,34,WH_B
2025-01-01,SKU0002,108,WH_B
2025-01-01,SKU0003,56,WH_B
2025-01-01,SKU0004,118,WH_A
2025-01-01,SKU0005,68,WH_B
2025-01-01,SKU0006,74,WH_B
2025-01-01,SKU0007,47,WH_B
2025-01-01,SKU0008,93,WH_A
2025-01-01,SKU0009,22,WH_A
2025-01-01,SKU0010,45,WH_C
2025-01-01,SKU0011,93,WH_B
2025-01-01,SKU0012,125,WH_C
2025-01-01,SKU0013,17,WH_A
2025-01-01,SKU0014,101,WH_B
2025-01-01,SKU0015,78,WH_A
2025-01-01,SKU0016,47,WH_C
2025-01-01,SKU0017,69,WH_B
2025-01-01,SKU0018,82,WH_A
2025-01-01,SKU0019,37,WH_C
2025-01-01,SKU0020,77,WH_B
2025-01-01,SKU0021,70,WH_B
2025-01-01,SKU0022,15,WH_B
2025-01-01,SKU0023,103,WH_C
2025-01-01,SKU0024,3,WH_C
2025-01-01,SKU0025,0,WH_A
2025-01-01,SKU0026,53,WH_A
2025-01-01,SKU0027,76,WH_C
2025-01-01,SKU0028,90,WH_B
2025-01-01,SKU0029,19,WH_A
2025-01-01,SKU0030,93,WH_A
2025-01-01,SKU0031,103,WH_A
2025-01-01,SKU0032,26,WH_A
2025-01-01,SKU0033,8,WH_B
2025-01-01,SKU0034,82,WH_C
2025-01-01,SKU0035,94,WH_C
2025-01-01,SKU0036,56,WH_A
2025-01-01,SKU0037,0,WH_C
2025-01-01,SKU0038,26,WH_C
2025-01-01,SKU0039,54,WH_A
2025-01-01,SKU0040,107,WH_B
2025-01-01,SKU0041,43,WH_A
2025-01-01,SKU0042,64,WH_A
2025-01-01,SKU0043,51,WH_C
2025-01-01,SKU0044,121,WH_B
2025-01-01,SKU0045,66,WH_A
2025-01-01,SKU0046,107,WH_C
2025-01-01,SKU0047,53,WH_B
2025-01-01,SKU0048,40,WH_A
2025-01-01,SKU0049,31,WH_B
2025-01-01,SKU0050,35,WH_B
2025-01-01,SKU0051,73,WH_A
2025-01-01,SKU0052,62,WH_A
2025-01-01,SKU0053,9,WH_A
2025-01-01,SKU0054,103,WH_C
2025-01-01,SKU0055,26,WH_A
2025-01-01,SKU0056,73,WH_C
2025-01-01,SKU0057,107,WH_A
2025-01-01,SKU0058,96,WH_A
2025-01-01,SKU0059,101,WH_A
2025-01-01,SKU0060,0,WH_C
2025-01-01,SKU0061,55,WH_A
2025-01-01,SKU0062,81,WH_C
2025-01-01,SKU0063,56,WH_A
2025-01-01,SKU0064,71,WH_B
2025-01-01,SKU0065,121,WH_C
2025-01-01,SKU0066,31,WH_C
2025-01-01,SKU0067,97,WH_C
2025-01-01,SKU0068,92,WH_C
2025-01-01,SKU0069,104,WH_B
2025-01-01,SKU0070,48,WH_B
2025-01-01,SKU0071,23,WH_A
2025-01-01,SKU0072,95,WH_A
2025-01-01,SKU0073,107,WH_B
2025-01-01,SKU0074,87,WH_C
2025-01-01,SKU0075,6,WH_A
2025-01-01,SKU0076,39,WH_C
2025-01-01,SKU0077,67,WH_A
2025-01-01,SKU0078,81,WH_C
2025-01-01,SKU0079,21,WH_B
2025-01-01,SKU0080,115,WH_C
2025-01-02,SKU0001,10,WH_A
2025-01-02,SKU0002,18,WH_A
2025-01-02,SKU0003,78,WH_B
2025-01-02,SKU0004,18,WH_B
2025-01-02,SKU0005,47,WH_A
2025-01-02,SKU0006,53,WH_B
2025-01-02,SKU0007,5,WH_B
2025-01-02,SKU0008,17,WH_B
2025-01-02,SKU0009,18,WH_C
2025-01-02,SKU0010,77,WH_A
2025-01-02,SKU0011,0,WH_B
2025-01-02,SKU0012,53,WH_A
2025-01-02,SKU0013,87,WH_A
2025-01-02,SKU0014,6,WH_C
2025-01-02,SKU0015,22,WH_B
2025-01-02,SKU0016,76,WH_C
2025-01-02,SKU0017,63,WH_A
2025-01-02,SKU0018,32,WH_C
2025-01-02,SKU0019,63,WH_B
2025-01-02,SKU0020,39,WH_C
2025-01-02,SKU0021,55,WH_A
2025-01-02,SKU0022,31,WH_C
2025-01-02,SKU0023,58,WH_B
2025-01-02,SKU0024,70,WH_B
2025-01-02,SKU0025,25,WH_B
2025-01-02,SKU0026,13,WH_B
2025-01-02,SKU0027,41,WH_B
2025-01-02,SKU0028,88,WH_C
2025-01-02,SKU0029,102,WH_C
2025-01-02,SKU0030,64,WH_C
2025-01-02,SKU0031,38,WH_A
2025-01-02,SKU0032,36,WH_C
2025-01-02,SKU0033,0,WH_B
2025-01-02,SKU0034,27,WH_A
2025-01-02,SKU0035,89,WH_C
2025-01-02,SKU0036,111,WH_A
2025-01-02,SKU0037,122,WH_B
2025-01-02,SKU0038,35,WH_C
2025-01-02,SKU0039,30,WH_B
2025-01-02,SKU0040,106,WH_B
2025-01-02,SKU0041,74,WH_C
2025-01-02,SKU0042,48,WH_B
2025-01-02,SKU0043,39,WH_B
2025-01-02,SKU0044,79,WH_C
2025-01-02,SKU0045,0,WH_B
2025-01-02,SKU0046,70,WH_A
2025-01-02,SKU0047,0,WH_C
2025-01-02,SKU0048,99,WH_A
2025-01-02,SKU0049,33,WH_B
2025-01-02,SKU0050,78,WH_A
2025-01-02,SKU0051,95,WH_B
2025-01-02,SKU0052,101,WH_C
2025-01-02,SKU0053,69,WH_B
2025-01-02,SKU0054,15,WH_B
2025-01-02,SKU0055,97,WH_A
2025-01-02,SKU0056,116,WH_A
2025-01-02,SKU0057,55,WH_A
2025-01-02,SKU0058,101,WH_B
2025-01-02,SKU0059,23,WH_B
2025-01-02,SKU0060,35,WH_B
2025-01-02,SKU0061,107,WH_A
2025-01-02,SKU0062,88,WH_B
2025-01-02,SKU0063,24,WH_C
2025-01-02,SKU0064,0,WH_B
2025-01-02,SKU0065,35,WH_A
2025-01-02,SKU0066,50,WH_C
2025-01-02,SKU0067,64,WH_C
2025-01-02,SKU0068,70,WH_C
2025-01-02,SKU0069,106,WH_A
2025-01-02,SKU0070,35,WH_A
2025-01-02,SKU0071,81,WH_B
2025-01-02,SKU0072,26,WH_C
2025-01-02,SKU0073,85,WH_B
2025-01-02,SKU0074,13,WH_C
2025-01-02,SKU0075,11,WH_C
2025-01-02,SKU0076,46,WH_B
2025-01-02,SKU0077,86,WH_C
2025-01-02,SKU0078,59,WH_C
2025-01-02,SKU0079,71,WH_C
2025-01-02,SKU0080,0,WH_A
2025-01-03,SKU0001,98,WH_C
2025-01-03,SKU0002,10,WH_B
2025-01-03,SKU0003,70,WH_A
2025-01-03,SKU0004,51,WH_B
2025-01-03,SKU0005,57,WH_B
2025-01-03,SKU0006,109,WH_B
2025-01-03,SKU0007,77,WH_A
2025-01-03,SKU0008,95,WH_C
2025-01-03,SKU0009,41,WH_C
2025-01-03,SKU0010,108,WH_B
2025-01-03,SKU0011,66,WH_B
