order_id,order_date,sku_id,qty,unit_price
ORD000001,2025-01-01,SKU0001,1,244.75
ORD000002,2025-01-01,SKU0004,2,206.26
ORD000003,2025-01-01,SKU0005,3,464.16
ORD000004,2025-01-01,SKU0006,4,346.92
ORD000005,2025-01-01,SKU0007,9,89.32
ORD000006,2025-01-01,SKU0008,6,232.98
ORD000007,2025-01-01,SKU0010,4,569.19
ORD000008,2025-01-01,SKU0011,2,581.33
ORD000009,2025-01-01,SKU0012,5,152.55
ORD000010,2025-01-01,SKU0013,2,798.28
ORD000011,2025-01-01,SKU0014,5,242.75
ORD000012,2025-01-01,SKU0015,3,782.23
ORD000013,2025-01-01,SKU0017,7,65.12
ORD000014,2025-01-01,SKU0018,4,302.25
ORD000015,2025-01-01,SKU0019,11,522.11
ORD000016,2025-01-01,SKU0020,2,557.34
ORD000017,2025-01-01,SKU0021,4,443.51
ORD000018,2025-01-01,SKU0022,7,380.32
ORD000019,2025-01-01,SKU0023,3,460.2
ORD000020,2025-01-01,SKU0024,6,490.45
ORD000021,2025-01-01,SKU0025,5,101.45
ORD000022,2025-01-01,SKU0026,4,320.94
ORD000023,2025-01-01,SKU0027,3,224.04
ORD000024,2025-01-01,SKU0028,4,650.39
ORD000025,2025-01-01,SKU0029,2,397.43
ORD000026,2025-01-01,SKU0030,1,787.4
ORD000027,2025-01-01,SKU0031,1,343.11
ORD000028,2025-01-01,SKU0032,2,660.49
ORD000029,2025-01-01,SKU0034,6,154.55
ORD000030,2025-01-01,SKU0035,5,426.23
ORD000031,2025-01-01,SKU0036,2,568.82
ORD000032,2025-01-01,SKU0038,1,287.73
ORD000033,2025-01-01,SKU0039,6,207.38
ORD000034,2025-01-01,SKU0040,1,580.47
ORD000035,2025-01-01,SKU0041,3,655.22
ORD000036,2025-01-01,SKU0042,5,304.99
ORD000037,2025-01-01,SKU0043,11,113.09
ORD000038,2025-01-01,SKU0044,2,754.8
ORD000039,2025-01-01,SKU0045,7,342.15
ORD000040,2025-01-01,SKU0046,1,433.49
ORD000041,2025-01-01,SKU0047,2,676.66
ORD000042,2025-01-01,SKU0048,3,553.52
ORD000043,2025-01-01,SKU0049,7,598.76
ORD000044,2025-01-01,SKU0051,3,451.5
ORD000045,2025-01-01,SKU0052,1,568.8
ORD000046,2025-01-01,SKU0053,3,213.7
ORD000047,2025-01-01,SKU0054,1,172.97
ORD000048,2025-01-01,SKU0055,7,786.45
ORD000049,2025-01-01,SKU0057,4,238.23
ORD000050,2025-01-01,SKU0058,2,797.15
ORD000051,2025-01-01,SKU0059,3,773.72
ORD000052,2025-01-01,SKU0060,3,464.3
ORD000053,2025-01-01,SKU0061,5,710.8
ORD000054,2025-01-01,SKU0062,5,183.42
ORD000055,2025-01-01,SKU0063,2,251.94
ORD000056,2025-01-01,SKU0064,1,572.27
ORD000057,2025-01-01,SKU0065,1,683.46
ORD000058,2025-01-01,SKU0066,4,690.81
ORD000059,2025-01-01,SKU0067,10,347.43
ORD000060,2025-01-01,SKU0068,6,714.71
ORD000061,2025-01-01,SKU0069,4,686.71
ORD000062,2025-01-01,SKU0070,1,751.08
ORD000063,2025-01-01,SKU0072,3,548.43
ORD000064,2025-01-01,SKU0073,7,481.32
ORD000065,2025-01-01,SKU0074,8,322.93
ORD000066,2025-01-01,SKU0075,7,754.5
ORD000067,2025-01-01,SKU0076,2,779.98
ORD000068,2025-01-01,SKU0077,2,255.78
ORD000069,2025-01-01,SKU0078,9,272.08
ORD000070,2025-01-01,SKU0080,4,380.8
ORD000071,2025-01-02,SKU0001,4,244.75
ORD000072,2025-01-02,SKU0002,1,225.54
ORD000073,2025-01-02,SKU0003,5,167.9
ORD000074,2025-01-02,SKU0004,3,206.26
ORD000075,2025-01-02,SKU0006,4,346.92
ORD000076,2025-01-02,SKU0007,3,89.32
ORD000077,2025-01-02,SKU0008,2,232.98
ORD000078,2025-01-02,SKU0010,2,569.19
ORD000079,2025-01-02,SKU0011,2,581.33
ORD000080,2025-01-02,SKU0012,2,152.55
ORD000081,2025-01-02,SKU0013,6,798.28
ORD000082,2025-01-02,SKU0014,3,242.75
ORD000083,2025-01-02,SKU0015,2,782.23
ORD000084,2025-01-02,SKU0016,3,352.39
ORD000085,2025-01-02,SKU0017,4,65.12
ORD000086,2025-01-02,SKU0018,4,302.25
ORD000087,2025-01-02,SKU0019,8,522.11
ORD000088,2025-01-02,SKU0021,9,443.51
ORD000089,2025-01-02,SKU0022,2,380.32
ORD000090,2025-01-02,SKU0023,9,460.2
ORD000091,2025-01-02,SKU0024,1,490.45
ORD000092,2025-01-02,SKU0025,7,101.45
ORD000093,2025-01-02,SKU0026,2,320.94
ORD000094,2025-01-02,SKU0027,7,224.04
ORD000095,2025-01-02,SKU0028,4,650.39
ORD000096,2025-01-02,SKU0029,5,397.43
ORD000097,2025-01-02,SKU0030,7,787.4
ORD000098,2025-01-02,SKU0031,2,343.11
ORD000099,2025-01-02,SKU0032,2,660.49
ORD000100,2025-01-02,SKU0033,6,646.74
ORD000101,2025-01-02,SKU0034,3,154.55
ORD000102,2025-01-02,SKU0035,8,426.23
ORD000103,2025-01-02,SKU0036,1,568.82
ORD000104,2025-01-02,SKU0037,6,692.35
ORD000105,2025-01-02,SKU0038,3,287.73
ORD000106,2025-01-02,SKU0040,1,580.47
ORD000107,2025-01-02,SKU0041,5,655.22
ORD000108,2025-01-02,SKU0042,10,304.99
ORD000109,2025-01-02,SKU0043,2,113.09
ORD000110,2025-01-02,SKU0044,1,754.8
ORD000111,2025-01-02,SKU0045,2,342.15
ORD000112,2025-01-02,SKU0046,4,433.49
ORD000113,2025-01-02,SKU0047,6,676.66
ORD000114,2025-01-02,SKU0048,7,553.52
ORD000115,2025-01-02,SKU0049,1,598.76
