sku_id,sku_name,category,unit_cost,unit_price,lead_time_days
SKU0001,Product_0001,Baby,124.59,244.75,11
SKU0002,Product_0002,Digital,278.73,225.54,6
SKU0003,Product_0003,Beauty,220.91,167.9,3
SKU0004,Product_0004,Digital,104.7,206.26,6
SKU0005,Product_0005,Digital,175.43,464.16,3
SKU0006,Product_0006,Food,161.04,346.92,16
SKU0007,Product_0007,Beauty,288.74,89.32,23
SKU0008,Product_0008,Beauty,254.91,232.98,18
SKU0009,Product_0009,Beauty,226.72,227.63,22
SKU0010,Product_0010,Digital,166.51,569.19,26
SKU0011,Product_0011,Baby,180.16,581.33,10
SKU0012,Product_0012,Beauty,289.92,152.55,9
SKU0013,Product_0013,Home,186.04,798.28,5
SKU0014,Product_0014,Digital,90.04,242.75,19
SKU0015,Product_0015,Food,95.92,782.23,3
SKU0016,Product_0016,Baby,57.93,352.39,18
SKU0017,Product_0017,Home,14.53,65.12,14
SKU0018,Product_0018,Home,132.79,302.25,29
SKU0019,Product_0019,Food,124.52,522.11,21
SKU0020,Product_0020,Baby,95.11,557.34,24
SKU0021,Product_0021,Digital,14.08,443.51,25
SKU0022,Product_0022,Appliances,67.66,380.32,24
SKU0023,Product_0023,Baby,216.29,460.2,16
SKU0024,Product_0024,Food,239.15,490.45,8
SKU0025,Product_0025,Home,185.73,101.45,8
SKU0026,Product_0026,Digital,278.63,320.94,15
SKU0027,Product_0027,Baby,198.81,224.04,21
SKU0028,Product_0028,Appliances,275.34,650.39,24
SKU0029,Product_0029,Appliances,256.51,397.43,10
SKU0030,Product_0030,Beauty,140.34,787.4,29
SKU0031,Product_0031,Beauty,37.67,343.11,29
SKU0032,Product_0032,Food,117.54,660.49,4
SKU0033,Product_0033,Baby,203.96,646.74,23
SKU0034,Product_0034,Baby,203.12,154.55,3
SKU0035,Product_0035,Home,181.48,426.23,17
SKU0036,Product_0036,Home,89.67,568.82,3
SKU0037,Product_0037,Home,172.76,692.35,7
SKU0038,Product_0038,Beauty,121.05,287.73,18
SKU0039,Product_0039,Baby,291.8,207.38,21
SKU0040,Product_0040,Baby,256.19,580.47,6
SKU0041,Product_0041,Appliances,219.3,655.22,5
SKU0042,Product_0042,Beauty,78.44,304.99,19
SKU0043,Product_0043,Digital,84.26,113.09,19
SKU0044,Product_0044,Beauty,21.73,754.8,14
SKU0045,Product_0045,Digital,216.09,342.15,16
SKU0046,Product_0046,Appliances,42.16,433.49,23
SKU0047,Product_0047,Food,137.41,676.66,8
SKU0048,Product_0048,Baby,68.5,553.52,5
SKU0049,Product_0049,Appliances,269.77,598.76,11
SKU0050,Product_0050,Baby,147.86,198.89,7
SKU0051,Product_0051,Home,173.35,451.5,26
SKU0052,Product_0052,Food,211.7,568.8,19
SKU0053,Product_0053,Food,50.41,213.7,16
SKU0054,Product_0054,Appliances,185.28,172.97,23
SKU0055,Product_0055,Food,166.55,786.45,5
SKU0056,Product_0056,Digital,68.89,432.64,3
SKU0057,Product_0057,Food,283.43,238.23,22
SKU0058,Product_0058,Baby,183.67,797.15,23
SKU0059,Product_0059,Baby,211.49,773.72,25
SKU0060,Product_0060,Baby,265.34,464.3,3
SKU0061,Product_0061,Baby,191.06,710.8,5
SKU0062,Product_0062,Digital,95.73,183.42,20
SKU0063,Product_0063,Beauty,40.59,251.94,27
SKU0064,Product_0064,Home,142.4,572.27,12
SKU0065,Product_0065,Appliances,73.35,683.46,24
SKU0066,Product_0066,Baby,130.79,690.81,28
SKU0067,Product_0067,Food,266.15,347.43,5
SKU0068,Product_0068,Baby,104.06,714.71,10
SKU0069,Product_0069,Food,45.41,686.71,16
SKU0070,Product_0070,Home,113.33,751.08,26
SKU0071,Product_0071,Home,272.98,636.86,20
SKU0072,Product_0072,Home,88.92,548.43,17
SKU0073,Product_0073,Food,197.83,481.32,24
SKU0074,Product_0074,Baby,10.15,322.93,25
SKU0075,Product_0075,Home,112.24,754.5,4
SKU0076,Product_0076,Digital,98.39,779.98,29
SKU0077,Product_0077,Food,57.75,255.78,12
SKU0078,Product_0078,Food,164.89,272.08,4
SKU0079,Product_0079,Baby,150.6,409.07,28
SKU0080,Product_0080,Food,210.81,380.8,19
