sku_id,sku_name,category,total_qty_90d,daily_avg_qty,avg_stock,dio_days,zero_stock_days,is_slow_moving
SKU0011,Product_0011,Baby,74.0,0.82,60.1,73.1,0,Y
SKU0061,Product_0061,Baby,80.0,0.89,61.2,68.8,0,Y
SKU0041,Product_0041,Appliances,78.0,0.87,58.7,67.7,1,Y
SKU0059,Product_0059,Baby,86.0,0.96,59.3,62.0,1,Y
SKU0077,Product_0077,Food,86.0,0.96,58.9,61.7,0,Y
SKU0065,Product_0065,Appliances,83.0,0.92,51.0,55.3,0,Y
SKU0038,Product_0038,Beauty,97.0,1.08,58.1,53.9,0,Y
SKU0068,Product_0068,Baby,104.0,1.16,61.5,53.2,1,Y
SKU0003,Product_0003,Beauty,96.0,1.07,56.7,53.2,0,Y
SKU0066,Product_0066,Baby,113.0,1.26,65.0,51.8,1,Y
SKU0035,Product_0035,Home,102.0,1.13,58.0,51.2,1,Y
SKU0074,Product_0074,Baby,108.0,1.2,58.1,48.4,0,Y
SKU0040,Product_0040,Baby,100.0,1.11,53.5,48.2,1,Y
SKU0027,Product_0027,Baby,111.0,1.23,57.9,46.9,0,Y
SKU0031,Product_0031,Beauty,116.0,1.29,53.4,41.4,0,Y
SKU0036,Product_0036,Home,244.0,2.71,63.3,23.4,1,N
SKU0028,Product_0028,Appliances,248.0,2.76,63.8,23.1,1,N
SKU0053,Product_0053,Food,241.0,2.68,59.7,22.3,1,N
SKU0073,Product_0073,Food,271.0,3.01,65.4,21.7,0,N
SKU0078,Product_0078,Food,272.0,3.02,65.1,21.5,0,N
SKU0023,Product_0023,Baby,271.0,3.01,64.1,21.3,0,N
SKU0013,Product_0013,Home,277.0,3.08,65.5,21.3,1,N
SKU0026,Product_0026,Digital,254.0,2.82,59.9,21.2,0,N
SKU0012,Product_0012,Beauty,268.0,2.98,63.0,21.1,0,N
SKU0054,Product_0054,Appliances,263.0,2.92,60.9,20.8,1,N
SKU0071,Product_0071,Home,262.0,2.91,60.4,20.7,0,N
SKU0010,Product_0010,Digital,298.0,3.31,68.2,20.6,0,N
SKU0052,Product_0052,Food,282.0,3.13,64.0,20.4,0,N
SKU0004,Product_0004,Digital,294.0,3.27,65.6,20.1,1,N
SKU0070,Product_0070,Home,280.0,3.11,62.0,19.9,3,N
SKU0030,Product_0030,Beauty,276.0,3.07,60.6,19.7,0,N
SKU0044,Product_0044,Beauty,302.0,3.36,66.2,19.7,1,N
SKU0034,Product_0034,Baby,279.0,3.1,60.6,19.6,1,N
SKU0046,Product_0046,Appliances,267.0,2.97,57.3,19.3,0,N
SKU0029,Product_0029,Appliances,289.0,3.21,61.2,19.1,1,N
SKU0006,Product_0006,Food,281.0,3.12,59.0,18.9,0,N
SKU0048,Product_0048,Baby,317.0,3.52,66.7,18.9,0,N
SKU0079,Product_0079,Baby,275.0,3.06,57.7,18.9,0,N
SKU0058,Product_0058,Baby,282.0,3.13,59.1,18.9,0,N
SKU0072,Product_0072,Home,275.0,3.06,57.4,18.8,0,N
SKU0063,Product_0063,Beauty,298.0,3.31,62.1,18.7,0,N
SKU0002,Product_0002,Digital,284.0,3.16,58.8,18.6,0,N
SKU0019,Product_0019,Food,300.0,3.33,61.5,18.5,0,N
SKU0018,Product_0018,Home,279.0,3.1,57.2,18.4,0,N
SKU0050,Product_0050,Baby,305.0,3.39,61.9,18.3,0,N
SKU0033,Product_0033,Baby,313.0,3.48,63.6,18.3,0,N
SKU0062,Product_0062,Digital,292.0,3.24,59.1,18.2,0,N
SKU0051,Product_0051,Home,266.0,2.96,53.9,18.2,1,N
SKU0045,Product_0045,Digital,295.0,3.28,59.5,18.2,0,N
SKU0069,Product_0069,Food,288.0,3.2,57.8,18.1,0,N
SKU0060,Product_0060,Baby,288.0,3.2,57.9,18.1,1,N
SKU0049,Product_0049,Appliances,267.0,2.97,52.5,17.7,0,N
SKU0037,Product_0037,Home,308.0,3.42,60.1,17.6,0,N
SKU0014,Product_0014,Digital,304.0,3.38,59.1,17.5,0,N
SKU0043,Product_0043,Digital,303.0,3.37,58.9,17.5,0,N
SKU0032,Product_0032,Food,299.0,3.32,57.7,17.4,2,N
SKU0057,Product_0057,Food,294.0,3.27,56.7,17.4,0,N
SKU0047,Product_0047,Food,302.0,3.36,58.3,17.4,1,N
SKU0008,Product_0008,Beauty,317.0,3.52,60.6,17.2,0,N
SKU0076,Product_0076,Digital,304.0,3.38,58.0,17.2,0,N
SKU0001,Product_0001,Baby,279.0,3.1,53.1,17.1,0,N
SKU0021,Product_0021,Digital,320.0,3.56,60.8,17.1,1,N
SKU0016,Product_0016,Baby,311.0,3.46,58.9,17.0,2,N
SKU0042,Product_0042,Beauty,315.0,3.5,59.4,17.0,0,N
SKU0009,Product_0009,Beauty,276.0,3.07,52.0,16.9,0,N
SKU0064,Product_0064,Home,305.0,3.39,57.1,16.9,1,N
SKU0005,Product_0005,Digital,299.0,3.32,56.2,16.9,0,N
SKU0017,Product_0017,Home,325.0,3.61,60.6,16.8,1,N
SKU0039,Product_0039,Baby,296.0,3.29,54.8,16.7,0,N
SKU0020,Product_0020,Baby,327.0,3.63,60.6,16.7,0,N
SKU0080,Product_0080,Food,329.0,3.66,60.8,16.6,0,N
SKU0015,Product_0015,Food,327.0,3.63,60.3,16.6,0,N
SKU0056,Product_0056,Digital,312.0,3.47,57.5,16.6,1,N
SKU0007,Product_0007,Beauty,300.0,3.33,54.5,16.4,1,N
SKU0024,Product_0024,Food,310.0,3.44,56.5,16.4,1,N
SKU0022,Product_0022,Appliances,324.0,3.6,57.8,16.1,0,N
SKU0055,Product_0055,Food,332.0,3.69,59.4,16.1,0,N
SKU0025,Product_0025,Home,326.0,3.62,56.8,15.7,0,N
SKU0067,Product_0067,Food,341.0,3.79,59.0,15.6,0,N
SKU0075,Product_0075,Home,341.0,3.79,57.9,15.3,1,N
